id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35870171,New Corporate 1Bd Apartment Downtown Dal+ Parking + Washer and dryer,188733636,Elegant,,District 2,32.79837,-96.8132,Entire home/apt,102,21,16,2022-02-28,0.49,52,255,6,
35876168,Upscale Stylish Townhome -  $65,145852647,Renae K Homes,,District 11,32.91736,-96.7734,Private room,65,7,1,2019-06-21,0.03,1,87,0,
35972546,"""Small Sierra"" 1-person Room In Hostel-style House",233729173,Host Team,,District 1,32.75374,-96.82645,Private room,34,1,132,2022-03-26,3.89,15,248,53,
35974025,Walkable Luxury Modern Dallas BishopArts +Downtown,93232901,Ej,,District 1,32.75067,-96.83839,Entire home/apt,179,1,138,2022-03-29,4.25,19,315,54,
36002102,Big Comfy Apt in Downtown Dallas/Free Valet(RS723),156543716,Corporate Short Stays Dallas,,District 2,32.7776,-96.7954,Entire home/apt,230,1,3,2019-11-26,0.09,22,365,0,
36028885,Charming/Cozy Studio by White Rock Lake! 1 BR/1BA,42222975,Carolina,,District 9,32.81903,-96.70896,Entire home/apt,92,2,101,2022-03-21,5.54,1,135,64,
36040354,Gorgeous Oak Lawn Townhouse | KING BEDS,13060870,Jerry & JC,,District 14,32.82008,-96.81389,Entire home/apt,281,2,41,2022-01-17,1.22,6,326,13,
36056120,Artist Alcove* 2 luxe q beds*near dwntn*wlk2bishop,112627405,Victoria & Jake,,District 1,32.75055,-96.8313,Entire home/apt,93,1,147,2022-04-02,4.41,6,119,64,
36071794,3 bedroom University Park HP Private Paradise,106419941,Airbnb,,District 13,32.86624,-96.79716,Entire home/apt,150,19,1,2020-01-08,0.04,2,301,0,
36100617,1 Bedroom|King & Sofa Bed|Valet Parking|Walk Score 95/100|Downtown Dallas,305350123,Corporate,,District 2,32.77875,-96.79446,Entire home/apt,172,1,21,2021-01-31,0.62,23,75,0,
36148941,Stylish 1Bedroom Corporate Apt Downtown-Free Valet,188733636,Elegant,,District 2,32.77835,-96.79434,Entire home/apt,116,1,31,2022-02-21,0.94,52,331,10,
36165642,Entire Uptown Dallas Luxury Unit,189927251,Kanessha,,District 14,32.79536,-96.80644,Entire home/apt,159,1,10,2022-03-20,3.85,1,2,10,
36175301,1 Bedroom|King & Sofa Bed|Valet Parking|Walk Score 95/100|Downtown Dallas,305350123,Corporate,,District 2,32.77867,-96.79612,Entire home/apt,205,1,64,2022-03-24,2.00,23,339,27,
36176996,Brand New 1Bd/1Br Fully Furnished Apt with Parking,264404309,Royal,,District 14,32.82412,-96.78586,Entire home/apt,101,1,19,2022-02-27,0.56,27,351,5,
36181214,Modern one bedroom Condo in Turtle Creek!,112405981,Antonio,,District 14,32.80631,-96.80915,Entire home/apt,82,30,11,2021-08-02,0.33,1,284,1,
36208119,Modren 1Bdroom Apartment  American Airline Center,188733636,Elegant,,District 2,32.78732,-96.8118,Entire home/apt,104,14,28,2022-03-19,0.84,52,267,16,
36208495,Quiet and safe neighborhood,272328093,Mick,,District 3,32.69937,-96.8701,Shared room,100,7,0,,,1,0,0,
36290080,⭐️North Oak/West Dallas/Trinity Groves/Downtow  ⭐️,108514926,Dalls,,District 6,32.77174,-96.83125,Entire home/apt,120,120,2,2019-12-29,0.06,321,365,0,
36294180,Keeping my Apartment clean,266368962,Don,,District 10,32.90368,-96.71084,Shared room,70,10,0,,,1,0,0,
36300884,⭐️North Oak/West Dallas/Trinity Groves/Downtown ⭐️,108514926,Dalls,,District 1,32.74645,-96.8449,Entire home/apt,120,70,1,2019-07-16,0.03,321,365,0,
36301282,⭐️North Oak/West Dallas/Trinity Groves/Downtown ⭐️,108514926,Dalls,,District 1,32.7468,-96.84662,Entire home/apt,120,40,1,2019-09-02,0.03,321,365,0,
36310474,Paramount Housing  Apt | Uptown Dallas |Parking | Washer Dryer,188733636,Elegant,,District 14,32.82577,-96.78655,Entire home/apt,106,1,15,2022-03-14,0.49,52,267,5,
36351143,ART♥ State Fair Suite. Spacious 1 BR apartment,112627405,Victoria & Jake,,District 1,32.75007,-96.83158,Entire home/apt,102,1,149,2022-04-06,4.44,6,58,51,
36357613,Cozy Bedroom Close to Love Field,66453556,Clint,,District 13,32.88414,-96.86194,Private room,50,2,40,2022-03-25,1.21,1,36,12,
36361702,North Dallas Petite Retreat,207792786,Brooke,,District 12,33.00265,-96.80298,Entire home/apt,79,14,81,2022-02-28,2.41,4,59,15,
36363820,⭐️North Oak/West Dallas/Trinity Groves/Downtown ⭐️,108514926,Dalls,,District 1,32.74681,-96.84483,Entire home/apt,120,20,1,2020-01-12,0.04,321,365,0,
36364096,⭐️North Oak/West Dallas/Trinity Groves/Downtown ⭐️,108514926,Dalls,,District 1,32.74508,-96.84693,Entire home/apt,120,12,2,2020-01-18,0.07,321,365,0,
36423886,Deep Ellum Suite/Downtown Dallas/Farmer’s Market,273859177,Lisa,,District 2,32.78167,-96.78911,Private room,93,1,50,2021-07-03,1.52,1,0,6,
36448778,Walk to food and shops*local Art* King 1 BR apt!,112627405,Victoria & Jake,,District 1,32.74994,-96.83192,Entire home/apt,135,1,68,2022-01-30,2.02,6,39,24,
36476995,1 Bedroom|King & Sofa Bed|Valet Parking|Walk Score 95/100|Downtown Dallas,305350123,Corporate,,District 2,32.77708,-96.79577,Entire home/apt,172,1,18,2021-02-28,0.57,23,75,0,
36477871,Midway Modern  - GREAT LOCATION to Work or Play!,72189887,Vicki,,District 13,32.92287,-96.83801,Entire home/apt,134,30,9,2021-11-25,0.28,1,54,1,
36479111,Saved by the 90s + Video Games & Cereal The Slater,1812060,Jeremy & Kelsey,,District 14,32.81383,-96.76353,Entire home/apt,154,1,354,2022-03-22,10.60,4,329,133,
36527186,Artist Alcove* Spacious Apartment* Walk 2 Shops!,112627405,Victoria & Jake,,District 1,32.75146,-96.8313,Entire home/apt,111,1,71,2022-04-01,2.15,6,21,12,
36550524,Open concept★Smart TVs all rooms★Private Backyard,395823,Keith,,District 2,32.82244,-96.82155,Entire home/apt,204,2,93,2022-03-23,2.93,8,313,41,
36556892,Bishop Arts NonToxic  Home - SLEEPS 10!!,274812608,Vanessa,,District 1,32.74664,-96.83412,Entire home/apt,275,3,54,2022-03-20,1.74,3,222,23,
36560793,1 Bedroom 2 beds | Downtown | Parking | Washer n Dryer | Long term stay |Weekly Payment,47763153,Paramount,,District 2,32.77687,-96.79638,Entire home/apt,126,1,46,2021-11-28,1.39,12,347,11,
36598747,Historic Shotgun House along the Trinity River (B),43491948,Stefan,,District 4,32.75301,-96.80226,Entire home/apt,64,1,367,2022-03-22,11.13,2,259,120,
36599827,Beautiful Gorgeous updated 3bd/2ba duplex-,15446227,Mindy & Chau,,District 11,32.92876,-96.76684,Entire home/apt,136,15,12,2022-02-22,0.37,4,34,3,
36606296,Luxury Three Level Townhome plus Amazing Rooftop!,43530829,Teri,,District 14,32.79239,-96.79139,Entire home/apt,447,1,179,2022-03-20,5.37,2,280,71,
36608116,Big Comfy Apt Downtown Dallas/Valet Parking (630),156543716,Corporate Short Stays Dallas,,District 2,32.7776,-96.7954,Entire home/apt,216,1,1,2019-10-20,0.03,22,352,0,
36629623,"Downtown loft, w/ Great Views",41089441,Paris,,District 2,32.77793,-96.79635,Entire home/apt,111,1,17,2022-04-07,0.52,1,38,6,
36762132,Charming Remodeled Tudor House 2Bed/2Bath.,167030039,Rose,,District 14,32.80207,-96.74217,Entire home/apt,244,2,30,2022-03-22,1.62,2,83,21,
36771563,"Dallas Super glam, Pet friendly, Perfect location!",40907479,Lisa,,District 2,32.85099,-96.83781,Entire home/apt,202,4,38,2022-03-07,1.15,6,352,15,
36796100,Private Room,194175923,Linda,,District 12,32.98818,-96.75971,Private room,65,1,5,2021-08-31,0.15,2,99,3,
36810396,Dallas R&R Hostel // Private Room 1,384442953,Kristie,,District 1,32.74501,-96.84673,Private room,32,1,97,2022-03-17,2.96,14,359,25,
36840194,4508 unit D  · Brand New | High design | Edge of Highland Park,430957331,Deisy,,District 14,32.82059,-96.81019,Entire home/apt,311,10,5,2022-03-25,0.16,18,55,3,
36845979,Linda's Private Room (One room),102314542,Linda,,District 12,32.98696,-96.75912,Private room,65,1,10,2022-02-08,0.32,2,357,8,
36878140,HomeAwayLongtermStayFamily/Students/Professionals,14138202,Nancy,,District 11,32.92885,-96.76705,Entire home/apt,250,7,29,2021-10-31,0.89,4,303,5,
36879680,Stylish 2 bedroom 2 Bath Flat - Oaklawn!,43042344,Heath,,District 14,32.81447,-96.80751,Entire home/apt,118,14,51,2022-03-11,1.54,93,303,25,
